target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,force_x,force_y,force_z,qw,qx,qy,qz
0.463419,-0.206562,0.246269,0.463641,-0.206256,0.246456,-0.000222224,-0.000306135,-0.000186579,-0.0908512,-0.139331,-0.0606639,0.505657,-0.5001,0.49486,0.499323
0.463416,-0.206565,0.246268,0.463642,-0.206254,0.246455,-0.000225444,-0.000310661,-0.000186713,-0.0929864,-0.131333,-0.0514507,0.505656,-0.500099,0.494861,0.499325
0.463414,-0.206568,0.246267,0.463646,-0.20625,0.246457,-0.000231907,-0.000318667,-0.00019006,-0.117085,-0.155927,-0.0642515,0.505656,-0.500103,0.494857,0.499325
0.463411,-0.206571,0.246266,0.463644,-0.206251,0.246457,-0.000233072,-0.000320068,-0.000191302,-0.0960669,-0.121919,-0.0594036,0.505654,-0.500102,0.49486,0.499325
0.463409,-0.206574,0.246265,0.463645,-0.206249,0.246457,-0.000235929,-0.000325167,-0.000192728,-0.0900637,-0.128345,-0.0580931,0.505656,-0.500104,0.494858,0.499324
0.463406,-0.206578,0.246263,0.463646,-0.206249,0.246461,-0.000240389,-0.000328708,-0.000197456,-0.0981699,-0.123242,-0.0731957,0.505656,-0.500106,0.494856,0.499324
0.463403,-0.206581,0.246262,0.463646,-0.206246,0.246458,-0.000242928,-0.000334842,-0.000195651,-0.0960943,-0.137883,-0.0436867,0.505654,-0.500105,0.494855,0.499327
0.463401,-0.206584,0.246261,0.463648,-0.206246,0.246461,-0.000246702,-0.000338106,-0.000200014,-0.106719,-0.134833,-0.0636316,0.505654,-0.500106,0.494855,0.499326
0.463398,-0.206587,0.24626,0.463648,-0.206245,0.246462,-0.000250066,-0.000342011,-0.000201823,-0.108388,-0.139949,-0.0636104,0.505654,-0.500109,0.494853,0.499324
0.463396,-0.20659,0.246259,0.463649,-0.206244,0.246462,-0.000253011,-0.00034629,-0.000203362,-0.110534,-0.146327,-0.0638194,0.505654,-0.500109,0.494853,0.499325
0.463393,-0.206593,0.246257,0.463649,-0.206243,0.246462,-0.000255822,-0.000350042,-0.000204454,-0.111456,-0.139538,-0.0719003,0.505652,-0.500111,0.494853,0.499324
0.46339,-0.206597,0.246256,0.463652,-0.20624,0.246465,-0.000262136,-0.000356718,-0.000208555,-0.125558,-0.157576,-0.0806125,0.505654,-0.500115,0.494848,0.499324
0.463388,-0.2066,0.246255,0.463652,-0.206238,0.246465,-0.00026443,-0.000361403,-0.000209426,-0.119269,-0.156554,-0.0720048,0.505653,-0.500114,0.494849,0.499325
0.463385,-0.206603,0.246254,0.463651,-0.206239,0.246463,-0.000265958,-0.000363903,-0.000209015,-0.103645,-0.145305,-0.0516735,0.505652,-0.500112,0.49485,0.499327
0.463382,-0.206606,0.246253,0.463653,-0.206238,0.246464,-0.000270519,-0.000368575,-0.000211024,-0.11004,-0.14141,-0.0509078,0.505651,-0.500114,0.494849,0.499327
0.463379,-0.206609,0.246252,0.463651,-0.206237,0.246463,-0.000271369,-0.000372104,-0.000211298,-0.0873731,-0.129536,-0.0486771,0.505653,-0.50011,0.494849,0.499329
0.463377,-0.206612,0.246251,0.463652,-0.206238,0.246465,-0.000275167,-0.000374725,-0.000214492,-0.0930619,-0.11541,-0.0560567,0.505651,-0.500114,0.494851,0.499326
0.463374,-0.206616,0.246249,0.463654,-0.206235,0.246468,-0.000280533,-0.000381126,-0.00021855,-0.114406,-0.145769,-0.0826703,0.50565,-0.500119,0.494846,0.499325
0.463371,-0.206619,0.246248,0.463653,-0.206234,0.246467,-0.000282026,-0.000384769,-0.000218478,-0.0979849,-0.137423,-0.0688102,0.50565,-0.500118,0.494847,0.499327
0.463368,-0.206622,0.246247,0.463656,-0.206232,0.246466,-0.000287628,-0.000390231,-0.000218447,-0.114318,-0.155466,-0.0513725,0.50565,-0.500121,0.494845,0.499325
0.463365,-0.206625,0.246246,0.463657,-0.20623,0.246468,-0.000291374,-0.000395661,-0.000221417,-0.117869,-0.158163,-0.0603191,0.505648,-0.500121,0.494844,0.499328
0.463362,-0.206629,0.246245,0.463658,-0.206228,0.246469,-0.000295507,-0.000400952,-0.000223879,-0.127047,-0.159022,-0.0711622,0.505648,-0.500124,0.494842,0.499327
0.46336,-0.206632,0.246244,0.463658,-0.206227,0.24647,-0.000298393,-0.000404641,-0.000226272,-0.120786,-0.146103,-0.0769989,0.505647,-0.500124,0.494842,0.499328
0.463357,-0.206635,0.246243,0.463658,-0.206227,0.24647,-0.000300974,-0.000407741,-0.000226656,-0.114235,-0.137839,-0.0689446,0.505646,-0.500122,0.494843,0.49933
0.463354,-0.206638,0.246242,0.463658,-0.206226,0.246468,-0.000304858,-0.00041241,-0.000226457,-0.115802,-0.133034,-0.0495084,0.505646,-0.500123,0.494842,0.49933
0.463351,-0.206642,0.246241,0.463658,-0.206223,0.246468,-0.000307442,-0.000418248,-0.000227139,-0.113859,-0.15438,-0.0449699,0.505644,-0.500125,0.49484,0.499332
0.463348,-0.206645,0.24624,0.46366,-0.206224,0.24647,-0.000311925,-0.000420979,-0.000230167,-0.112574,-0.131309,-0.0521539,0.505644,-0.500127,0.49484,0.49933
0.463345,-0.206648,0.246239,0.463661,-0.206223,0.246473,-0.000316021,-0.000425563,-0.000233866,-0.121153,-0.137225,-0.0769455,0.505643,-0.500128,0.49484,0.49933
0.463342,-0.206651,0.246238,0.463661,-0.20622,0.246469,-0.000319811,-0.000431181,-0.000231888,-0.124689,-0.151455,-0.045493,0.505643,-0.500127,0.494839,0.499332
0.463339,-0.206655,0.246237,0.463662,-0.206218,0.246473,-0.000323158,-0.000436267,-0.000236459,-0.126739,-0.159926,-0.0671582,0.505643,-0.50013,0.494836,0.499331
0.463335,-0.206658,0.246236,0.463662,-0.206217,0.246472,-0.000326354,-0.000441068,-0.000236686,-0.123613,-0.16248,-0.0699533,0.505642,-0.50013,0.494836,0.499333
0.463332,-0.206661,0.246234,0.463662,-0.206218,0.24647,-0.000329943,-0.000443605,-0.000235523,-0.132117,-0.150924,-0.059786,0.505642,-0.500129,0.494837,0.499333
0.463329,-0.206664,0.246233,0.463664,-0.206216,0.246471,-0.000334587,-0.000447994,-0.000237907,-0.14157,-0.146351,-0.0770151,0.505643,-0.500132,0.494834,0.499331
0.463326,-0.206668,0.246232,0.463663,-0.206215,0.246472,-0.000337194,-0.000452705,-0.000239146,-0.1279,-0.144517,-0.0671185,0.505641,-0.500133,0.494833,0.499335
0.463323,-0.206671,0.246231,0.463665,-0.206214,0.246472,-0.000341915,-0.000456849,-0.000240998,-0.129552,-0.139726,-0.0690968,0.50564,-0.500133,0.494834,0.499334
0.46332,-0.206674,0.24623,0.463665,-0.206212,0.246472,-0.000345475,-0.00046258,-0.000241487,-0.131189,-0.163808,-0.065288,0.505638,-0.500132,0.494833,0.499338
0.463316,-0.206677,0.246229,0.463665,-0.206209,0.246471,-0.000348369,-0.000468766,-0.000241615,-0.126489,-0.178703,-0.0612658,0.505638,-0.500132,0.494832,0.499339
0.463313,-0.206681,0.246228,0.463667,-0.206209,0.246473,-0.000353583,-0.000471537,-0.000244794,-0.136541,-0.16524,-0.0701167,0.505639,-0.500136,0.494831,0.499335
0.46331,-0.206684,0.246227,0.463668,-0.206209,0.246472,-0.000357871,-0.00047529,-0.00024493,-0.133661,-0.153779,-0.0547085,0.505637,-0.500136,0.494832,0.499335
0.463306,-0.206687,0.246226,0.463667,-0.206205,0.246473,-0.00036062,-0.000482173,-0.000246754,-0.128793,-0.172912,-0.0591744,0.505637,-0.500138,0.494828,0.499338
0.463303,-0.206691,0.246226,0.463669,-0.206207,0.246474,-0.00036538,-0.000483599,-0.000248659,-0.137976,-0.153362,-0.0641077,0.505637,-0.500138,0.49483,0.499336
0.4633,-0.206694,0.246225,0.463668,-0.206205,0.246474,-0.000368276,-0.000488978,-0.000249366,-0.129538,-0.169982,-0.0646306,0.505637,-0.500139,0.494828,0.499338
0.463296,-0.206697,0.246224,0.463669,-0.206203,0.246475,-0.000373014,-0.000494193,-0.00025147,-0.138179,-0.181927,-0.0666945,0.505634,-0.500142,0.494828,0.499337
0.463293,-0.2067,0.246223,0.463672,-0.206202,0.246476,-0.000378691,-0.000498303,-0.000253222,-0.15152,-0.172874,-0.0766185,0.505635,-0.500145,0.494825,0.499336
